"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"1548","ENSMUSG00000101609",-0.751570738847327,2.55606170371322,4.52898405807425e-06,"Kcnq1ot1","KCNQ1 overlapping transcript 1","63830","GO:0003682","chromatin binding"
"1497","ENSMUSG00000092274",-1.10874978206228,6.68328749514919,1.14927702761959e-05,"Neat1","nuclear paraspeckle assembly transcript 1 (non-protein coding)","66961","GO:0005515","protein binding"
"1451","ENSMUSG00000086370",-0.845603664712662,2.97518264545697,0.0014996079393044,"Ftx","Ftx transcript, Xist regulator (non-protein coding)","78878","GO:0003674","molecular_function"
"1407","ENSMUSG00000080316",-0.721097640027769,3.00672483453371,0.000191890430999046,"Spaca6","sperm acrosome associated 6","75202","GO:0003674","molecular_function"
"1404","ENSMUSG00000079487",-0.598128213643439,4.41871372727229,1.36862520137396e-05,"Med12","mediator complex subunit 12","59024","GO:0000151","ubiquitin ligase complex"
"1402","ENSMUSG00000079481",-0.627860762758662,4.14414386064519,1.6947644382192e-05,"Nhsl2","NHS-like 2","100042480","GO:0003674","molecular_function"
"1376","ENSMUSG00000074994",-0.753113295955268,4.15574053548256,0.0001081902983855,"Qser1","glutamine and serine rich 1","99003","GO:0003674","molecular_function"
"1369","ENSMUSG00000074733",-0.718071350677177,4.21210232272253,0.000102494241931985,"Zfp950","zinc finger protein 950","414758","GO:0001570","vasculogenesis"
"1365","ENSMUSG00000074505",-1.01931010596392,5.23927016808566,1.67317679395519e-09,"Fat3","FAT atypical cadherin 3","270120","GO:0000904","cell morphogenesis involved in differentiation"
"1337","ENSMUSG00000072294",-1.65995756997188,2.69719658080411,7.35132864013386e-06,"Klf12","Kruppel-like factor 12","16597","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1312","ENSMUSG00000070327",-0.806075884132484,3.87506891848037,5.34108074853078e-06,"Rnf213","ring finger protein 213","672511","GO:0001525","angiogenesis"
"1308","ENSMUSG00000069045",-0.639102295121381,5.5537876727198,0.00738912406330826,"Ddx3y","DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked","26900","GO:0000166","nucleotide binding"
