"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"3365","ENSMUSG00000109284",-0.623370627730912,2.19709515581964,6.08929889239552e-05,"B230311B06Rik","RIKEN cDNA B230311B06 gene","381914","GO:0003674","molecular_function"
"3319","ENSMUSG00000104346",0.640091415759255,2.12342443819572,0.000567390458259521,"Pcdhga3","protocadherin gamma subfamily A, 3","93711","GO:0005515","protein binding"
"3314","ENSMUSG00000103897",0.857927618744957,2.6468751611233,7.2675480341222e-05,"Pcdhga8","protocadherin gamma subfamily A, 8","93716","GO:0003674","molecular_function"
"3306","ENSMUSG00000103567",1.2343172766506,1.36654896831612,0.00201453808507618,"Pcdhga5","protocadherin gamma subfamily A, 5","93713","GO:0003674","molecular_function"
"3305","ENSMUSG00000103472",0.85273333187657,3.10237071922248,6.03293215139423e-06,"Pcdhga7","protocadherin gamma subfamily A, 7","93715","GO:0003674","molecular_function"
"3301","ENSMUSG00000103255",-0.661108208393833,1.36689113454675,0.000543376971898724,"Pcdhac1","protocadherin alpha subfamily C, 1","353236","GO:0003674","molecular_function"
"3300","ENSMUSG00000103144",0.507437747137982,1.01309635277036,0.00820635059817381,"Pcdhga1","protocadherin gamma subfamily A, 1","93709","GO:0005515","protein binding"
"3298","ENSMUSG00000103088",0.710741586863501,3.10600361798819,3.30627603427502e-05,"Pcdhgb6","protocadherin gamma subfamily B, 6","93703","GO:0003674","molecular_function"
"3296","ENSMUSG00000102918",1.02324227015144,4.63380636651458,1.52669731477418e-18,"Pcdhgc3","protocadherin gamma subfamily C, 3","93706","GO:0005887","integral component of plasma membrane"
"3289","ENSMUSG00000102543",1.30908933869576,3.43097073585003,8.03710402220267e-18,"Pcdhgc5","protocadherin gamma subfamily C, 5","93708","GO:0003674","molecular_function"
"3280","ENSMUSG00000101389",3.98579133906923,0.960484064043175,5.25074293613541e-15,"Ms4a4a","membrane-spanning 4-domains, subfamily A, member 4A","666907","GO:0003674","molecular_function"
"3257","ENSMUSG00000097785",-0.55508329674841,2.42020977124742,0.0292631780214371,"B230217O12Rik","RIKEN cDNA B230217O12 gene","320879","GO:0003674","molecular_function"
"3255","ENSMUSG00000097767",-1.07930974414067,5.82108359313841,3.88747642943079e-06,"Miat","myocardial infarction associated transcript (non-protein coding)","330166","GO:0005515","protein binding"
"3249","ENSMUSG00000097545",-1.38796384655282,4.95633094006229,1.13678956286002e-08,"Mir124a-1hg","Mir124-1 host gene (non-protein coding)","268755","GO:0003674","molecular_function"
"3247","ENSMUSG00000097462",1.01561771420917,1.89499359532594,6.65311365570795e-06,"9530026P05Rik","RIKEN cDNA 9530026P05 gene","330385","GO:0003674","molecular_function"
"3241","ENSMUSG00000097353",-0.643233507487091,2.86591625326629,2.91941241282587e-06,"A430046D13Rik","Riken cDNA A430046D13 gene","654440","GO:0003674","molecular_function"
"3237","ENSMUSG00000097326",0.775819780218838,1.208969748906,5.92892967565457e-05,"A330048O09Rik","RIKEN cDNA A330048O09 gene","320315","GO:0003674","molecular_function"
"3235","ENSMUSG00000097251",-0.679327986596531,1.09720853481093,0.000290486106533309,"5033417F24Rik","RIKEN cDNA 5033417F24 gene","75995","GO:0003674","molecular_function"
"3231","ENSMUSG00000097184",-0.938774143460679,1.68318802209035,3.96927785369482e-07,"4632428C04Rik","RIKEN cDNA 4632428C04 gene","100043102","GO:0003674","molecular_function"
"3228","ENSMUSG00000097102",-0.856657825550802,0.761084798269309,0.00463686972178447,"2310069G16Rik","RIKEN cDNA 2310069G16 gene","69659","GO:0003674","molecular_function"
"3213","ENSMUSG00000095687",0.876627665453421,1.80500162068258,0.000362532076657276,"Rnaset2a","ribonuclease T2A","100037283","GO:0004540","ribonuclease activity"
