"","X","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"433",1041,"ENSMUSG00000095115",1.05242986976354,4.08860072035205,6.57479043092568e-11,"Itpripl2","inositol 1,4,5-triphosphate receptor interacting protein-like 2",319622
"264",1034,"ENSMUSG00000091649",2.99466119432413,0.62853022598796,3.09294706788406e-15,"Phf11b","PHD finger protein 11B",236451
"459",1013,"ENSMUSG00000079547",1.48817820463836,1.00360532302224,3.30768925729058e-09,"H2-DMb1","histocompatibility 2, class II, locus Mb1",14999
"604",1009,"ENSMUSG00000079293",5.14016120813098,3.68343808811908,2.14314374594576e-58,"Clec7a","C-type lectin domain family 7, member a",56644
"684",1008,"ENSMUSG00000079110",1.2349740580216,4.05944299484684,2.17815043315182e-11,"Capn3","calpain 3",12335
"591",1007,"ENSMUSG00000079057",1.4428510888295,3.95609266885707,4.20873524818943e-25,"Cyp4v3","cytochrome P450, family 4, subfamily v, polypeptide 3",102294
"291",1002,"ENSMUSG00000078945",2.2880934480511,2.0845435983278,7.93194045559822e-26,"Naip2","NLR family, apoptosis inhibitory protein 2",17948
"419",1000,"ENSMUSG00000078853",1.63034199159067,2.84577372123759,1.49690747999596e-10,"Igtp","interferon gamma induced GTPase",16145
"420",977,"ENSMUSG00000073490",4.26297101520731,1.85835314632833,9.24405891586306e-29,"Ifi207","interferon activated gene 207",226691
"421",976,"ENSMUSG00000073489",4.11104840601166,1.24818420852582,8.87344678919079e-21,"Ifi204","interferon activated gene 204",15951
"452",972,"ENSMUSG00000073409",3.0836049850989,1.79723875501389,2.93283188929607e-14,"H2-Q8","histocompatibility 2, Q region locus 8",15019
"295",964,"ENSMUSG00000071715",1.69176988405092,1.86172372874853,5.43966558335765e-15,"Ncf4","neutrophil cytosolic factor 4",17972
"619",963,"ENSMUSG00000071714",2.50825949322625,1.62726612988017,3.17030668301162e-19,"Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)",12984
"618",962,"ENSMUSG00000071713",2.62707867357266,2.51889061470187,1.7194792507011e-42,"Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",12983
"290",958,"ENSMUSG00000071203",2.12452015211716,1.29933892429137,1.40787949460478e-14,"Naip5","NLR family, apoptosis inhibitory protein 5",17951
"401",956,"ENSMUSG00000070942",1.68592107903965,0.932061876779008,5.61603835854184e-08,"Il1rl2","interleukin 1 receptor-like 2",107527
"398",952,"ENSMUSG00000070427",1.44084748950477,2.18954374925789,2.11550524652211e-14,"Il18bp","interleukin 18 binding protein",16068
"172",949,"ENSMUSG00000070327",1.0153025411365,4.77428993027068,0.000577840298660653,"Rnf213","ring finger protein 213",672511
"351",944,"ENSMUSG00000069516",2.83361020724776,6.93177382615868,4.40626206890859e-28,"Lyz2","lysozyme 2",17105
"263",935,"ENSMUSG00000068245",2.64568442283761,0.734254520930312,2.62812442980215e-12,"Phf11d","PHD finger protein 11D",219132
"170",925,"ENSMUSG00000065037",3.34563208211791,1.62558553637234,6.7212323197638e-25,"Rn7sk","RNA, 7SK, nuclear",19817
"508",917,"ENSMUSG00000063234",1.8483632064719,1.11324932652351,6.31453683091036e-18,"Gpr84","G protein-coupled receptor 84",80910
"457",906,"ENSMUSG00000061232",2.20168688358612,6.32052063621325,9.1907622046394e-29,"H2-K1","histocompatibility 2, K1, K region",14972
"695",905,"ENSMUSG00000061132",1.44186331072688,2.48732403739944,2.69951946008779e-13,"Blnk","B cell linker",17060
"689",904,"ENSMUSG00000060802",1.95214637912143,7.64966150599968,6.60288984069542e-55,"B2m","beta-2 microglobulin",12010
"69",900,"ENSMUSG00000060519",1.55559980584361,4.6255761180265,1.40616379247386e-16,"Tor3a","torsin family 3, member A",30935
"686",894,"ENSMUSG00000059588",1.12645169328476,4.20857975949568,9.75853220523089e-05,"Calcrl","calcitonin receptor-like",54598
"536",892,"ENSMUSG00000059498",1.99952596660137,4.49284219795873,2.58100913588059e-44,"Fcgr3","Fc receptor, IgG, low affinity III",14131
"212",891,"ENSMUSG00000059456",1.30525240801749,3.66826511103687,2.54798492066441e-21,"Ptk2b","PTK2 protein tyrosine kinase 2 beta",19229
"539",886,"ENSMUSG00000058715",2.18077901961275,4.36726168562068,4.99693486703075e-43,"Fcer1g","Fc receptor, IgE, high affinity I, gamma polypeptide",14127
"294",882,"ENSMUSG00000058099",1.11252790993235,2.73103945450686,1.14694623811708e-08,"Nfam1","Nfat activating molecule with ITAM motif 1",74039
"41",878,"ENSMUSG00000057596",2.09872371391843,2.20451655845143,5.37083988624202e-08,"Trim30d","tripartite motif-containing 30D",209387
"249",872,"ENSMUSG00000056529",2.27366889692194,1.95229520430761,1.45102096080875e-29,"Ptafr","platelet-activating factor receptor",19204
"178",868,"ENSMUSG00000056313",1.00928039812462,1.58499744537342,5.59357183515569e-06,"1810011O10Rik","RIKEN cDNA 1810011O10 gene",69068
"369",866,"ENSMUSG00000055541",1.37988480786302,4.32340253246905,7.78748509726106e-14,"Lair1","leukocyte-associated Ig-like receptor 1",52855
"449",857,"ENSMUSG00000053835",1.35372902645443,3.21096858829249,1.14231084246853e-05,"H2-T24","histocompatibility 2, T region locus 24",15042
"534",852,"ENSMUSG00000053158",1.20496631757892,3.01602203638679,3.71290004675807e-11,"Fes","feline sarcoma oncogene",14159
"98",851,"ENSMUSG00000053113",3.24101476160138,3.25335299245402,2.5780985576834e-63,"Socs3","suppressor of cytokine signaling 3",12702
"306",844,"ENSMUSG00000052384",1.44558047535551,3.74710543018375,1.4408929966665e-12,"Nrros","negative regulator of reactive oxygen species",224109
"639",843,"ENSMUSG00000052336",1.07606719429666,6.22959847138611,5.50877566514748e-12,"Cx3cr1","chemokine (C-X3-C motif) receptor 1",13051
"254",841,"ENSMUSG00000052160",1.8402864947316,4.73538476623888,5.51509131519308e-36,"Pld4","phospholipase D family, member 4",104759
"200",840,"ENSMUSG00000052142",1.5993083944446,2.82637046530023,4.14550999817179e-14,"Rasal3","RAS protein activator like 3",320484
"583",838,"ENSMUSG00000052085",1.05047391443847,3.48435750207412,4.20707184446684e-08,"Dock8","dedicator of cytokinesis 8",76088
"375",836,"ENSMUSG00000051652",1.24190147464554,3.56098485383812,6.40045492069851e-18,"Lrrc3","leucine rich repeat containing 3",237387
"11",835,"ENSMUSG00000051506",1.30764460243619,2.36113991611124,1.94525443283349e-12,"Wdfy4","WD repeat and FYVE domain containing 4",545030
"72",834,"ENSMUSG00000051498",1.24084339820948,0.859885129578226,6.58121921228639e-08,"Tlr6","toll-like receptor 6",21899
"664",833,"ENSMUSG00000051439",2.28154995991506,3.7084718176765,2.22030522700154e-54,"Cd14","CD14 antigen",12475
"510",832,"ENSMUSG00000051212",1.15062231714378,1.57223789844606,6.69293222610972e-11,"Gpr183","G protein-coupled receptor 183",321019
"66",816,"ENSMUSG00000049625",1.14588487280218,2.49619292612383,2.26989135074e-05,"Tifab","TRAF-interacting protein with forkhead-associated domain, family member B",212937
"608",813,"ENSMUSG00000049130",1.3319638707987,0.978898246635715,1.57609202044362e-05,"C5ar1","complement component 5a receptor 1",12273
"187",811,"ENSMUSG00000048865",1.32659266769233,3.12251438681537,2.85662249066134e-11,"Arhgap30","Rho GTPase activating protein 30",226652
"209",809,"ENSMUSG00000048779",1.76698696741302,2.81338005670166,3.46806667914609e-24,"P2ry6","pyrimidinergic receptor P2Y, G-protein coupled, 6",233571
"661",797,"ENSMUSG00000047798",2.40642635205691,2.95899856925955,5.69901650273786e-17,"Cd300lf","CD300 molecule like family member F",246746
"86",793,"ENSMUSG00000047407",1.76753527487324,2.34374472442046,5.6049586689714e-28,"Tgif1","TGFB-induced factor homeobox 1",21815
"303",790,"ENSMUSG00000047180",2.11960770105093,1.4414084761192,5.43232178660908e-20,"Neurl3","neuralized E3 ubiquitin protein ligase 3",214854
"349",786,"ENSMUSG00000046805",3.62814354189542,6.85412587738529,6.76908451684163e-59,"Mpeg1","macrophage expressed gene 1",17476
"67",783,"ENSMUSG00000046688",1.24000817736944,3.45119261191589,1.39075281987414e-12,"Tifa","TRAF-interacting protein with forkhead-associated domain",211550
"240",781,"ENSMUSG00000046410",1.61302829103256,3.03626089411107,1.4514457319203e-23,"Kcnk6","potassium inwardly-rectifying channel, subfamily K, member 6",52150
"2",775,"ENSMUSG00000045817",1.37421173858617,5.45441604493095,6.30444224638838e-23,"Zfp36l2","zinc finger protein 36, C3H type-like 2",12193
"70",771,"ENSMUSG00000045322",1.66066409921996,1.68662898432162,1.01992874581121e-16,"Tlr9","toll-like receptor 9",81897
"76",764,"ENSMUSG00000044827",1.9345823378848,1.38965267433937,2.10695984889292e-18,"Tlr1","toll-like receptor 1",21897
"659",763,"ENSMUSG00000044811",2.79843579659664,3.53110667023175,1.1282709448385e-59,"Cd300c2","CD300C molecule 2",140497
"3",762,"ENSMUSG00000044786",2.59450113460321,4.45660621370501,1.86901660228778e-16,"Zfp36","zinc finger protein 36",22695
"71",760,"ENSMUSG00000044583",2.90256361901881,3.7616281018817,8.54407723359885e-40,"Tlr7","toll-like receptor 7",170743
"544",758,"ENSMUSG00000044468",2.30563356948927,3.75178331740562,1.80144528618228e-46,"Fam46c","family with sequence similarity 46, member C",74645
"640",750,"ENSMUSG00000043953",1.23933049745862,1.49972397445449,1.5412792972351e-10,"Ccrl2","chemokine (C-C motif) receptor-like 2",54199
"280",746,"ENSMUSG00000043415",1.55824170238759,3.84657891153133,3.3186751714116e-23,"Otud1","OTU domain containing 1",71198
"387",742,"ENSMUSG00000043008",1.78602989873943,2.54705183539363,6.52946460934336e-14,"Klhl6","kelch-like 6",239743
"712",734,"ENSMUSG00000042759",1.67596795553642,1.50303641005417,3.57555612428776e-20,"Apobr","apolipoprotein B receptor",171504
"5",733,"ENSMUSG00000042677",1.98291565367629,1.75629255415412,1.91009195979133e-15,"Zc3h12a","zinc finger CCCH type containing 12A",230738
"14",732,"ENSMUSG00000042622",3.47727382744212,3.96744210901923,1.66992809682083e-24,"Maff","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",17133
"236",731,"ENSMUSG00000042613",1.49606787616517,7.52434119951563,1.60078629630794e-53,"Pbxip1","pre B cell leukemia transcription factor interacting protein 1",229534
"354",725,"ENSMUSG00000042228",1.58781956114837,3.8079624971129,5.63539252094353e-28,"Lyn","LYN proto-oncogene, Src family tyrosine kinase",17096
"635",723,"ENSMUSG00000042190",1.56462598052499,2.87909509342295,2.41761636256177e-21,"Cmklr1","chemokine-like receptor 1",14747
